PartCode,GTIN
100101,20045421100100
100117,10715001001174
100119,10715001001198
100130,70049485001309
100134,10020534159187
100144,70049485001446
100145,10045421001455
100146,70049485001460
100150,10715001001501
101,00049485001010
1.02101E+14,00049485057369
103,00049485001034
104,00049485001041
104A,10049485001048
105,00049485001058
105B,20049485001052
107,00049485001072
107B,20049485001076
107D,40049485001070
110,00049485001102
110090,10715001100907
110092,10715001100921
110322,10715001103229
110462,10715001104625
110711,70049485007110
110921,10715001109214
110950,20045421915209
110B,20049485001106
110D,40049485001100
111,10049485001116
111030,10045421110300
111040,10715001110401
111572,20045421915216
111579,10715001115796
114,10049485001147
115,00049485001157
119,00049485001195
121,10049485001215
12347,10049485123474
12348,10049485123481
12349,10049485123498
12350,10049485123504
12354,00076323011528
12355,00076323013249
12364,10049485123641
12365,10049485123658
124,10049485001246
125,00049485001256
125A,10049485001253
126,10049485001260
12600,00049485126003
130,00049485001300
132,00049485001324
134,00049485001348
136,10049485001369
137,10049485001376
139,10049485001390
142A,10049485001420
144,00049485001447
148,00049485001485
151,00049485001515
156,00049485001560
161,00049485001614
162,00049485001621
163,00049485001638
173,10049485001734
178,10049485001789
179,00049485001799
180,00049485001805
190,00049485001904
202,10049485002021
202A,10049485002021
202C,30049485002025
203,10049485002038
203C,30049485002032
206,10049485002069
208,10049485002083
209,10049485002090
212,10049485002120
213,10049485002137
214,10049485002144
222,10049485002229
224,10049485002243
226,10049485002267
228,10049485002281
232,10049485002328
234,10049485002342
236,10049485002366
238,10049485002380
24117,00049485241171
24118,00049485241188
242,10049485002427
270,00049485002703
270V,80049485002709
271,00049485002710
271V,80049485002716
272,00049485002727
272V,80049485002723
273,00049485002734
273V,80049485002730
274,10049485002748
276,10049485002762
277,00049485002772
278,00049485002789
279,00049485002796
280,00049485002802
281,00049485002819
282,00049485002826
283,00049485002833
284,00049485002840
285,00049485002857
30001,10049485300011
30011,10049485300110
30021,10049485300219
301,00049485003014
302,00049485003021
303A,10049485003035
304,00049485003045
305,00049485003052
306,00049485003069
307A,10049485003073
314A,10049485003141
316A,10049485003165
318,10049485003189
319,10049485003196
320A,10049485003202
33010,00049485330103
33020,00049485330203
333,10049485003332
334,10049485003349
335,00049485003359
336,00049485003366
337,00049485003373
350,00049485003502
350A,10049485003509
351,00049485003519
351A,10049485003516
373,10049485003738
374,10049485003745
375,10049485003752
376,10049485003769
40010,00049485400103
40120,00049485401209
40140,00049485401407
41010,00049485410102
41020,00049485410201
41031,00049485410317
41051,00049485410515
41060,00049485410607
41080,00049485410805
41101,00049485411017
41111,00049485411116
41121,00049485411215
41130,00049485411307
41141,00049485411413
41142,00049485411420
41151,10093901813487
41170,00049485411703
41180,00049485411802
41190,00049485411901
41201,00049485412014
41211,00049485412113
41220,00049485412205
41231,00049485412311
42001,00049485420019
42010,00049485420101
42011,00049485420118
42012,10795835827232
42013,00806795513424
42020,00049485420200
42031,10093901500387
42041,00049485420415
42051,00049485420514
42060,00049485420606
42071,00049485420712
42081,00049485420811
42091,00049485420910
42101,00049485421016
42110,00049485421108
42120,00049485421207
42121,00049485421214
42130,00049485421306
42140,00049485421405
42151,00049485421511
42161,00049485421610
42170,00049485421702
42180,00049485421801
42191,00049485421917
42200,00049485422006
42210,00049485422105
42220,00049485422204
42230,00049485422303
42231,00049485422310
42241,00049485422419
42250,00049485422501
42251,00049485422518
42261,00890253001004
42280,00049485422808
42290,00049485422907
42300,00049485423003
